!DOCTYPE/Slow,lewi,internationallyagreed
"as/G- WANTS,adop,Febraury
Dumez/dumez,Unicorp,WESTBURNEUWI.TOSHARES
Dumez Investments/dumez,Dumez,Unicorp
Dumont/Macyro,locksmith,wholesalers
Duncan/U.K Producer,Tinker,survivor
Dunhil/compact,principals,Classic
Dunhill/Dunhil,compact,principals
Dupont/paint,Pace,Armen
Dura/wix,wickes,Wick Cos
Durabl Goods/Singer,Taken,forefront
Durakon Industries/durakon,DFM,DRKN.O
Durapip/Genoa,Gallah,valv
Dure/ninecounty,Tandem,JanMay
Durham/noncopper,Comex,sights
Duri/Minas,osp,Mina
During/audienc,brave,hints
Dutch/Veghel,droughtinduced,applies
DutchShell/DOE RESOLVES,formula Brooklyn,MAY BUY
Dutchess/N.Y. communities,subsrib,CABLEVISION SYSTEMS
Dutchess County/N.Y. communities,subsrib,CABLEVISION SYSTEMS
Duvali/Rigaud,Laidoff,resel
Dyecast alloy/alloy,amax,dyecast
Dyke/falloff,tradeled,possibility
Dyke the/falloff,tradeled,Dyke
Dynascan/dynascan,Maxtec,DYNA.O
Dynascan Corp/dynascan,Maxtec,Dynascan
E/xminus,gyrat,Jenrette
E.C/xminus,USDAprojected,Accumul
E.F/BorgWarner because,Wyly,Shelton
E.F HUTTON/Purol,utiliaz,Acquisition
E.F Hutton/Purol,Eckenfeld,axp
E.Gutzwil/Coesfeld West,Kommanditgesellschaft,Schallplattentruh
E.M/Millard,Although the,Levi
E.M Warburg/Computerland Corp,computerland,Pincu
E.O.A.C/xminus,USDAprojected,Accumul
E.O.AC/xminus,USDAprojected,Accumul
EAGLE PETROLEUMS/AMERICAN,ltd,00100101
EAL/TEXAS AIR,SystemOn Corp,,Corp Eastern
EASTEK CORP/ESTK.O,stage,avail
EASTERN UTILITIES/eua,00740101,ups
EASTOVER CORP/easts,estat,00390101
EC/chips,introduced,disastr
EC AUTHORISES/brussels,ecustonne,EXPORT
EC Commission./counteroffer,pleased,say.
EC GRANTS/breadmak,FREE MARKET,MAIZE
EC However,/renounc,patienc,patience
EC LAUNCHES/erasable,memory,chips
EC MAINLY/Portugal,undertook,European Community
EC intervention/marking,Community,complaint
EC oilseed/nondiscriminatory,steps.,American Soybean
EC-/ARGENTINA SOYBEANS,,USSR COARSE,MEAL in
EC./Copenhagen,Uffe,pigmeat
ECF/Coffe Organization,,everyone.,droughtinduced
ECGD/U.K BANKERS,British exports,ecgd
ECOLAB INC/ecl,ChemLawn,nonrecurring
ECOP/nonagricultural,Monsod,Solita
ECOPETROL/evas,ELN,OXY
ECRA/downvalu,Angel,SEE
ECU/Vilhena,capability,Franc outstanding
ECUADOR POSTS/-MTH,shatter,endSeptember
ECUs/Euar,Baring,baring
ECproduced/introduced,Agriculture,Tanghe
EDAC TECHNOLOGIES/EDAC.O,Order,backlog
EDAC.O/19001009,Order,EDAC TECHNOLOGIES
EDDIE/Add,CORRECTEDCRAZY,reaciv
EDELMAN DETAILS/Edelman and,Idustri,nonevent.
EDELMAN GROUP/Secruti,Things,TELEX
EDISON/tranches,companion,dte
EDP/fullservice,System Software,SSAX.O
EDT/comment GAF,Gillette,Hoel
EDT July/Shield,Dalkon,qrah
EE/U.S SAVINGS,strongly,histori
EEC/excluded,gifts,Zhongji
EEP/convinced,indispens,offend
EFAC/FACTORS,SITHE TO,RAISE ENERGY
EFFECTIVE/TODAY,YESTERDAY,BANK DALLAS
EGAS.O/energas,taeunit,Kentucki Gas
EGYPT AUTHORIZED/PL- agreement,,port,buy
EI/Nemour,OLN,DU PONT
EIA/Gasolin,SPR,eia
EIA SAYS/DISTILLATE STOCKS,unchanged,gasoline
EIA said/SPR,eia,distillate
EIB/curv,AAArated,European Investment
EIS/Design,Funktion,Systems
EJ.A/EVEREST AND,jennings,Pai May
EK/Earlier Squibb,develp,Fild Squibb
EKN/-franc,Nidwalden,Leu
EKN Bank/-franc,EKN,Nidwalden
EL SALVADOR/SEEKING PL-480,SOYMEAL,yellow
EL.X.TO/Electrohom Ltd,electrohome,CGE.TO
ELCOR CORP/elk,NOTEShares,holder
ELE/Eletrospac,accepted.,NYSE
ELECTRIC/nes,mths,system
ELECTRO RENT/elrc,feb,00200101
ELECTROMAGNETIC SCIENCES/ELMG.O,ST,Backlog
ELECTRONIC TELE-COMMUNICATIONS/Net profit,TeleCommunications,ETCIA.O
ELEVATOR/LOADING,CARGILL,ZENNOH
ELMG.O/Backlog,ST,ELECTROMAGNETIC SCIENCES
ELMIRA SAVINGS/ESBK.O,00550101,BANK
ELMO/LOADING,CARGILL,ZENNOH
ELN/evas,OXY,Army
ELXA.S/Reuter Ramon,happy,preferreds
EM/endorsing,Entertain Marketing,Entertainment
EMI/British group,Garcin,Thorn
EMIPalmieri/moral,endorsing,LP.
EMLX.O/EMULEX CORP,00120101,Avg
EMPA.TO/SYSA.TO,Sobei,Empire Co
EMS/lacklustre,revaluation,scarc
EMULEX CORP/EMLX.O,00120101,Avg
ENDATA INC/DATA.O,00160101,00110101
ENDS/SRC,Servic Resources,SERVICE RESOURCES
ENEL/Ente Nazionale,jointlead,Elettrica
ENERGY/sant,APPLIED SOLAR,PARTNERS
ENERGY DEVELOPMENT/Energi Development,noncash,edp
ENERGYU.S PETROCHEMICAL/paint,Pace,Armen
ENGLAND TO/supervis,whenissued,cevelop
ENI/Petroli,Westcoast,Investment Co>,
ENQUIRIES/QueenslandJapan,Reunion-,FIXTURES Fiji/Prai
ENTERPRISE/PUBLIC SERVICE,Rev 4.3,Public
ENTERPRISES/COCA COLA,cce,bottl
ENTERTAINMENT/deg,Rev 25.6,DE LAURENTIIS
ENTN.MI/Petroli,Investment Co>,,eni
ENTRE COMPUTER/ETRE.O,etre,INCETRE.O
EPA/Albani,CECOS,whatsoever
EPROM/erasable,memory,chips
EQK/Cheleden,Liberti Financial,equimark
EQUIMARK/PER,liberty,SHARE
EQUIPMENT/Digit Equipment,dec,sink
EQUW.WE/<gnsp.l>,,Peat,Equiticorp Holdings
ERC INTERNATIONAL/erc,INC,respectively
ERC International/erc,INTERNATIONAL,repai
ERIC.ST/Design,Funktion,EIS
ERICY.O/Telefonica,Intelsa,L.M Ericsson
ERIE LACKAWANNA/ERIE.O,Total,INC
ERIE.O/ERIE LACKAWANNA,Total,INC
ESBK.O/ELMIRA SAVINGS,00550101,BANK
ESK/yankee,Eskei,e.
ESOP/Term were,Bickner,heinold
ESTATE/Rev 1,986,938,TRAT.O,TRAVELERS REAL
ESTATE INVESTMENT/USP REAL,USPTS.O,TRUST
ESTK.O/EASTEK CORP,stage,initi
ETCIA.O/Net profit,ELECTRONIC TELE-COMMUNICATIONS,TeleCommunications
ETL/Fridai It,CSR offer,happier
ETN/Aurora,FCBN,BUYS EATON
ETRE.O/Entre Computer,closing,ENTRE COMPUTER
EUROPE/slows,Czechoslovakia,raini
EUROPEAN/AMERICAN BANCORP>,consortium,own
EUROPEAN COMMUNITY/State asked,FSC,Superfund
EUROPEAN MARKETS/REACT QUIETLY,Dave,Indosuez
EVEREST AND/EJ.A,jennings,Pai May
EVERGOOD PRODUCTS/EVGD.O,corp,19000618
EVGD.O/EVERGOOD PRODUCTS,corp,19000618
EXPANSIONARY/incomes,Barend,minibudget
EXPECTED IN/Ismail,Studi,said "Our
EXPENSES/Chemic New,Nonaccruing,Quito
EXPIRED/acquisittion,lbo,PUROLATOR
EXPORT/brussels,ecustonne,TONNES MAIZE,
EXPORTS/CANADA TO,U.S market,carney
EXPRESS/FEXP.O,FROZEN FOOD,name
EXPRESSOEH/RAISE ORIENT,Commiss they,Orient
EXTENDS BROCKWAY/owensillinois,Brockwai have,OwensIllinois
EXTENDS MID-GRADE/Florida and,Virginia Maryland,,District of
Each/gunboat,exrights,voted
Eamsaard/valorem,Yoot,RD.AS
Earli/15.,April 22.,permitted
Earlier/embezzl,Bundesbnak,cheif
Earlier Gabelli/Giorgio,gabelli,Di
Earlier Squibb/develp,Fild Squibb,antiinflammatory
Earn/agrreement,tet,Stearn Cos
Earthquak/-bpd,Alvite,Fernando
East/xminus,Istyle,After the
East Coast/N.Y TANKERS,Atlantic Coast,Gotco
East demonstrates/reafffirm,norms,Minister said
Easter/FEDERATED,W WOOLWORTH,Dave
Eastern/Jenrette,todai Shell,illadvised
Eastman/Earlier Squibb,develp,antiinflammatory
Eastman Kodak/reoffer,AAAAA,KODAK
Eaton/Fluorocarbon,Aurora,Fluorocarbon Co
Eb/Louisiana Land,LA LAND,Qa
Ebe/Intercom,Unerg,internationale
Ec/Louisiana Land,LA LAND,Qa
Eckenfeld/axp,Bach,TAKEOVER SPECULATION
Econom/Reuter Ramon,FRANCE,thus
Econom Minister/Bangemann,endangered.,minority.
Econom Organizations/JAPAN BUSINESS,Development,Ishihara
Econom Planning/luncheon,Kondo,Tetsuo
Econometr/West Coast,startled,awhil
Economi/projections,yaacobi,flavour
Economic/audienc,vibranc,patrolling
Economics/Rainer,faltering,Sprinkel the
Economist/projections,torrid,incomes
Economist have/Greenshield,Doherti,torrid
Economy/fairly,U.S STUDY,Mike
Ecu/introduced,partners.,Week
Ecuador/earthquak,-MTH,baltek
Ecuador Brazil/rollover,SECURITY PACIFIC,Secur Pacific
Ecuadorean/Alvite,-km,resume
Ecuadorean State/staterun,Leroux,Valdivieso
Ecuadorian/baltek,BTEK.O,ecuadorian
Ecus/introduced,Receiv,Rebat
Ecusta/lightweight,Glatfelt,Pisgah
Ed/Millard,Although the,Levi
Eddie/buiness,endorsing,Laurenc
Eddie common/Enetertain Marketing,N.J electronics,Depend
Eddie it/Enetertain Marketing,N.J electronics,Depend
Eddie stores./DiscoMat,Asylum,Ltd which
Edelman/FEDERATED,victor,nonevent.
Edelman and/EDELMAN DETAILS,Idustri,nonevent.
EdelmanDominion/Secruti,DTX.T,Cobacked
Edged/Gilt,pointed,subdu
Edibl/marginal,edible,rapese
Edison/Enetertain Marketing,N.J electronics,Depend
Edition/Canada Ltd.,,Canada Ltd,W.B Saunders
Edmonton/Oy,MTBE,mtbe
EdmontonSwann/Shell Canada,Group owns,SHC
Edouard/Outgo,wrongli,flotations
Edouard Balladur/Pemberton,Larosier Also,Kiichi Miyazawa
Edson/honeywell,Better,Sperri Aerospace
Eduard/adventurist,rebel,adventurism
Eduardo/neighbourhood,CIIF,contravent
Edward/cci,FEDERATED,victor
Edwin/consequences.,said Miller,soup
Effectiv/BOTs,mixed,Musicland
Efthymia/Petso,Aghia,Fokida
Egil/Sinc then,mexico,,contribution.
Egypt/Condon,Soft,predictions
Egyptian/price Last,After the,dlrstonne
Eight/AMBRIT INC,jone,plaintfiff
Eight Record/dsp,OFFSHORE,DIAMOND SHAMROCK
Eighti/Heart,Iowa State,rib
Eightyone/voted,COMINCO LEAD/ZINC,majeire
Eileen Gormley/STN,victor,FLD
Eishiro/G- ACCORD,Aggression,LEADERS SAY
Ekofisk/OPECled,Britishoperated,Ltd operator
Ekofisk field,/OPECled,Britishoperated,Ltd operator
El/Anzola,ASSETS,successfully
El Salvador/SEEKING PL-480,el,SOYMEAL
Elder/Reuter Ramon,Beutel,OKeef
Elder IXL/happy,preferreds,Holdings
Elders/preferreds,B preferred,happy
Electric/Wyly,chips,doubledigit
Electric Supply/Kowloon,CLPH.HK,Schroders
Electrohom Ltd/EL.X.TO,electrohome,CGE.TO
Electrolux/nib,guinea,retrospect
Electrolyt/refining,Co of,electrolytic
Electron/ELECTRONIC TELE-COMMUNICATIONS,crystal,electronic
Electronics/buiness,Eliot,Laurenc
Electrospac/worldwid Chrysler,designs,,NYSE
Electrospac Rather,/ele,Gulfstream,Electrospac Systems
Electrospac Systems/ele,Gulfstream,Electrospac Rather,
Elektrik/Lorenz Finanz,Boston Ltd,elektrik
Eletrospac/accepted.,NYSE,ELE
Elettrica/lEnergia,untraded,todai I've
Elevat/workpractice,Flevoland,meetings
Eleven/productionsharing,misunderstand,Ramly
Elia/buiness,Eliot,Laurenc
Elimin/twelve,UNION CO>,GRAND
Eliot/buiness,Laurenc,share A
Elizabethtown/NUI Corp,nui,nonutil
Elkes/Catel,IDC Services,stock MIM
EllemannJensen/Copenhagen,Uffe,pigmeat
Ellen/Industri and,salad,CHICKEN NOT
Elliott/Holdings,Rothman International,Carling
Elsewhere/MackayBurdekin,Initial,todai I've
Elstree/SEEKS CANNON,studio,Giancarlo Paretti,
Elton/capacity.,chapter,Algerians
Embankment/prelet,Greycoat,Chare
Embassy/funaro,,Brazilian Finance,Monetari Fund,
Emergenc/Hous Armed,atrocious.,staffer
Emerling/safer,Commun Nutrition,Institut "Company
Emerson Radio/RADIO,eme,notes
Emhart/emh,RTE Corp,RTE
Emirat/OPEC May,Fakkan,Khor
Emirates/factfinding,Warner said.,MidEast
Emphasiz/Mondai with,underscores,underscor
Empire/EMPA.TO,empire,Finch
Empire Co/SYSA.TO,EMPA.TO,Sobei
Employe/Bickner,Small,bimp
Employees/safer,Commun Nutrition,Institut "Company
Employer/nonagricultural,doubledigit,Capel and
Employment/upwardli,U.K Average,benelux
Encor/Corp Inc>,,17,,achievable
End/Use,SupplyX 369,mediumshort
End Stcks/TotalY,mediumshort,1.
End Stocks/Stk,mediumshort,MEAL in
Ended Feb/Rev 240.9,INCETRE.O,GENERAL INSTRUMENT
Endusers would/sauce,ketchup,Feedgrain
Energa Co/energas,taeunit,EGAS.O
Energi/deviations,MR ROOTER,Januari 1.1
Energi Co/debenture,Alberta,energy
Energi Development/noncash,ENERGY DEVELOPMENT,edp
Energi Information/Gasolin,Yeartodate,residu
Energi Minister/lapse,unnecessary.,supports
Energi Secretary/wildlif,20000101,carib
Energy/kilowatthour,JAPAN TO,Nuclear
Enetertain Marketing/N.J electronics,Depend,Eddie common
Engine/Royc,IAE,clevite's
Engineer/spie,Combust,Juli It
Engineer Co/Waterford,fluor,FLR
Engineer Ltd/Dowti,Woodvil,Woodville
Engines/Royc,Whitnei,MTU
England/Isi,tgt,whenissued
Englebright/LPFA,AFBD,prepack
English/ring,evid The,Otherwise
Enhancement/Serva,islands,August 15-November
Enquiri/Hemisphere,Whitehous,Carey
Enriqu/downvalu,arduou,panacea
Enron/wine That,order "I,earned
Enskilda/Acquir,SEBS.ST,-room
Ente/Nazionali,Investment Co>,,untraded
Ente Nazionale/ENEL,jointlead,Elettrica
Enterpris/intercare,auxton,Utiliti Investment
Enterprises/BresLub,sk,BresLube
Entertaiment/Entertain Marketing,Additionally,Entertainment
Entertain/deg,buiness,endorsing
Entertain Marketing/Entertaiment,Additionally,Entertainment
Entertain Marketing,/buiness,Eliot,Laurenc
Entertainment/Entertaiment,Entertain Marketing,entertainment
Entex/settlements,Ferguson,overcharg
Entourag/Amadeus,lipstick,entg
Entourag International/Amadeus,lipstick,Entourag
Entre/feared,Chaco,Santa Fe
Entre Computer/closing,ENTRE COMPUTER,ETRE.O
Entregrowth/america.,entregrowth,accptanc
Entregrowth Interational/Auckland,Suav,suave
Entry/accurate,nerv,overestim
Envase/Metalurgico de,ccl,Alava
Environ/Crane,marley,Crane Co
Environment Protection/suits,BFI,BrowningFerris Industries
Envoy/bauxit,Lloyd Shipping,orinoco
Eppler/buiness,Eliot,Laurenc
Equador/earning,cites,IRVING BANK
Equatori/MARTIN MARIETTA,ml,anticip
Equibank/Cheleden,Liberti Financial,equimark
Equimark/Cheleden,Liberti Financial,equimark
Equiment/baggag,Conerg,Stearn Airport
Equipment/SEQP.O,SUPREME,Peerless
Equitabl/leasing,Investment Corp,,lnk
Equitabl Life/leasing,Equitabl,Investment Corp,
Equitable/Catel,IDC Services,stock MIM
Equiti/gloomi,cea,Akira
Equiticorp/H.K UNIT,Fridai It,CSR offer
Equiticorp Holdings/<gnsp.l>,,Peat,EQUW.WE
Equity/MGLL.O,wrather,wco
Eric/Concepcion,U.S Commerce,Ho
Erickson/TOTAL ERICKSON,Consolid Silver,Consolid interests
Ericsson/ERICY.O,Design,Funktion
Eridania/Ceroni,Argimont,fertliz
Erik/Caico,son,Industritillbehor
Ernesto/Argentina agreed,Argentine,Sourroil
Erskine/Bashaw,erskine,CANADIAN BASHAW,
Eschborn/Manilabased International,IRRI,Swaminathan
Eskei/yankee,e.,ynk
Espinosa/repaired,insignificant,-km
Essen/favourable.,decline.,Kiel
Esso/ess,Truscott,Zenex
Esso Singapore/ess,esso,todai Shell
Establish/Evanston Ill.,,gyrat,mushroom
Estate/Rev 1,986,938,TRAT.O,indication
Estates/Austec,Melbourne,RyanMcFarlnad
Este/hormonefed,European Community's,israeli
Estimat/crippl,elsewhere.,nondefense
Ethiopia/Burnudi,Comoros,Somalia
Ettore/Ceroni,Argimont,fertliz
Euar/Bare Capital,Baring,baring
Eugen/CDI,West Coast,startled
Euro/PPAC.O,Penn Pacific,outside
EuroMTN/nib,guinea,retrospect
EuroMTNs/nib,guinea,retrospect
Eurobond/N.V. convertible,twosentence,note The
Euroc/Airways,Duesseldorf,CAA
Eurocity/Airways,Duesseldorf,CAA
Eurodebentur The/note The,Texaco Capital,N.V. convertible
Eurodollar/plough,lacklustre,involuntari
Eurof/sections,closures,cutbacks
Euromark/lacklustre,wax.,frankfurt
Euromarket/cantrade,IRT Property,Farm International
Euromonei/nib,guinea,retrospect
Europ/recessionhit,xminus,Earlier Squibb
Europ The/Bare Capital,Euar,Baring
Europa/Cascad,Gre from,perfumes
Europe/Earlier Squibb,slows,Czechoslovakia
EuropeAfrica/Monsanto Chemical,MONSANTO TO,polyphenyls
European/Hurt,polyphenyls,successfully
European Community/DELORS CALLS,profoundly,ANDRIESSEN HINTS
European Community's/freeze,hormonefed,meaningless
European Community,/Livre,shaken,Lisbon
European Investment/railways,Man,TGV
European Monetary/Stabilis,02580101,FECOM
European countries./Bare Capital,Euar,Baring
European feared/laptop,TOSHIBA SHARP,Toshiba Corp
EuropeanMediterranean/utiliz,Worldwid,jackup
Europeesch/ASRN.AS,TAKES STAKE,intrins
Europeesche/ASRN.AS,TAKES STAKE,intrins
Eurostat/succession,bloc,-nation
Euroyen/curv,AAArated,euroyen
Evans/HAL ROACH,Qintex,HRSI.O
Evanston Ill.,/gyrat,mushroom,clock Such
Even/jumps,oversuppli,Rights
Evergreen/newbuild,-teu,liner
Everybody/bahrain,spotnext,Bahrainbased
Everyon/unquoted,11,hearing.
Ewing/Prudential,mobplan,KMG
Excellent/Irvam,consign,characteris
Exception/BLUE CIRCLE,VIEILLE MONTAGNE,Viviez
Exchang/salary,ccx,Witchita
Exchang Commission/Giorgio,gabelli,Di
Exchang Commission's/procedings.,proceeding,Consequently
Exchang of/Nendick,fourforone,capit Jardine
Exchange/dollarbased,Maybe,pronounc
Exchequer/Nigel,worse.,longplanned
Exchequer Nigel/Throughout,Hurt,longtime
Exclude/restatement,reclassifies,Conif
Execut/cci,chips,intercare
Executone/lossriden,Atlantabased,ctc
Exercise/TNT,Arizona,NCPA.S
Exhibit/Airlin System>'s,Skanska,Chines capital.
Exist/downvalu,arduou,panacea
ExpE/xminus,USDAprojected,Accumul
ExpdE/xminus,USDAprojected,Accumul
ExpdE 4,333.1/xminus,USDAprojected,Accumul
Expenditur/Sudan,June 30.,pounds
Expirat/Pacif Stock,Inc today.,hughes
Explorat/settlements,Omni,Space
Explorat Australia/TotalCie Francaise,Petrol,condensate
Exploration/onyx,London &amp;,LSML.L
Export/Start,End,Enhancement
Export 1,025/TotalY,mediumshort,1.
Export 2.30/Product 16.30,COTTON SUPPLY/DEMAND,X X
Export 26.45/Mln,Bales,Milled
Export 80.0/TotalY,mediumshort,1.
Export 98.97/Mln,Bales,Milled
Export Credit/haiti,amended,Commod Credit
Export to/Aggression,Huggler,effort.
ExportImport/ALUMINIUM,PT,shareholders,
Exporter/xminus,USDAprojected,endMay
Exporters/jitter,dollar,,Dlr of
Exports/Government,bln,JanuarySeptember
Express/EXPRESSOEH,taxi,Duesseldorf
ExptE/xminus,USDAprojected,Accumul
Extension/productionsharing,misunderstand,Ramly
External/recessionhit,hake,edict
Extinguish/Pacif Fire,NATG.O,burglar
Extra/revived,Saudis,alongsid
Extraordianri/01110101,06860101,Discontinu
Extraordinari/advance,Packag,KLM.AS
Extraordinari items/STHL.L,fullydiluted,storehouse
Exxon/Florida and,MAY BUY,EXTENDS MID-GRADE
Exxon Co/EXTENDS MID-GRADE,Virginia Maryland,,Florida and
Exxon Corp/Image,Solutions,Dataproduct said.
Exxon Corp's/CUTS HEATING,U.S.A,exxon
Exxon took/N.Y TANKERS,East Coast,Atlantic Coast
F/Evanston Ill.,,cci,xminus
F.A/nsb,tcfc,exerciseable
F.O/slows,Czechoslovakia,raini
F.S.B/Pinella,ponce,Home Federal
F.W WOOLWORTH/hikes,z,00280101
FAB INDUSTRIES/00690101,fit,feb
FABK.O/Keyston,keystone,FIRST OF
FABRICS/HOUSE OF,hf,00180101
FACILITY/Advanc Institutional,INSTITUTIONAL,Manag Software
FACTORS/SITHE TO,RAISE ENERGY,EFAC
FACTORY/Sale 285.9,Coat,bcf
FAIRLY HECTIC/Hemisphere,Enquiri,Whitehous
FALLS TWO/U.S M-1,MONEY SUPPLY,WEEK
FAMB.O/BANK FOR,FIRST AMERICAN,went
FAMILY DOLLAR/fdo,STORES,00270101
FAMILY HEALTH/fhsy,SYSTEMS,nil
FAMILY STEAK/HOUSES OF,RYFL.O,inc
FAO/Bruyn,margarin,unevenli
FAO SEES/unevenli,harvests,LOWER GLOBAL
FARM FRESH/00200101,FFSH.O,INC
FARMEROWNED/NATIONAL AVERAGE,Cwt -,Natl
FASB/PLAINS PETROLEUM,plp,adopt
FASHIONS INC>/MR,jax,00290101
FAVORS ROYEX/Internat Corona,Corona,corona
FBC/Robert Maxwell,harcourt,,TAKEOVER SPECULATION
FCBN/Aurora,BUYS EATON,ETN
FCBN.O/<etn>,Fluorocarbon,Fluorocarbon Co
FCC/Kentucki Central,Bluegrass Broadcasting,Fla. radio
FCHT.O/Dec 11,Chattanooga,Nov
FCOB.O/First Commercial,threebranch,CITIZENS
FCOJ/Templ,Temples,considered
FCY/Nuton,Wedd,Valor
FDB/Penang,gangs,tel
FDGC.O/postsplit,symbol,FEDERATED GUARANTY
FDMC.O/FIRST DATA,sharehopld,First Data
FDRC.O/RETAILER,FEDERAL RESOURCES,Feder Resources
FEAR DAMAGE/Button,farreaching,Matsushita
FECOM/Stabilis,02580101,Franc outstanding
FED/REPURCHASES,FALLS TWO,OVERNIGHT SYSTEM
FED ALLOWS/Oakland,CITICORP,Citicorp proposal
FED ARRANGES/repos,inject,repurchas
FED BUYING/YEN IN,say,DOLLARS FOR
FED EXPECTED/threeday,pacts,indirectli
FED SAYS/ageements,twoday,sets
FED SETS/REPURCHASES,OVERNIGHT SYSTEM,TWODAY SYSTEM
FEDERAL/TLMN.O,Talman,TALMAN HOME
FEDERAL GUARANTEE/FDGC.O,00340101,19000413
FEDERAL RESOURCES/FDRC.O,RETAILER,Feder Resources
FEDERALMOGUL CORP/fmo,extinguish,00660101
FEDERATED/slowing,Penney,SEARS
FEDERATED GROUP/FEGP.O,19000501,eight
FEDERATED GUARANTY/postsplit,symbol,Alfa
FEDS JOHNSON/DIFFERENCES,U.S.GERMAN,ACCORD ALIVE,
FEEDGRAINS/TotalY,mediumshort,1.
FEFAC/Pex,Veghel,compounder
FEGP.O/FEDERATED GROUP,eight,19000629
FELE.O/FRANKLIN ELECTRIC,00850101,00730101
FELL 430/CANADIAN MONEY,SUPPLY M-1,OF
FEMA/Hous Armed,atrocious.,staffer
FERC/solved.,Btu,tgt
FEXP.O/EXPRESS,FROZEN FOOD,00540101
FFBN.O/FIRST FEDERAL,00840101,00750101
FFED.O/ninerecurring,FIDELITY FEDERAL,SAVINGS AND
FFSD.O/FIRST FEDERAL,SAVINGS,went
FFSH.O/FARM FRESH,INC,Nine
FHLB/GOLDEN WEST,gdw,prepay
FHLBB/caprici,Bank Board,jurisdict
FHLBB CHANGES/Feder Home,OLD,MATURITY
FHR/fisher,Seawai,Fisher Foods
FIAT.MI/01320101,Ordinari,fiat
FICR.O/lazere,Lazer,BKNE.OSTAKE
FIDATA CORP/Quarter,fid,disposit
FIDELITY FEDERAL/ninerecurring,SAVINGS AND,FFED.O
FIFTH THIRD/FITB.O,Heritag,Fifth Third
FIIA.O/IOWA,FIRST INTERSTATE,Pretax
FILING/Fridai The,alright,highyield
FINAL TEST/fnlt,00880101,th
FINANCIAL/FHLB,GREAT WESTERN,GOLDEN WEST
FINANCIAL CORP/mortgagebacked,fin,Asset 33.4
FINANCIAL NEWS/NETWORK,fnni,Six
FINANCIAL SECURITY/Landa,Financi Security,FSSLA.O
FINANCIALS LONG-TERM/AFFIRMS AVCO,commercial,cuts
FINDS/ouncesyard,highergrade,GOLD
FINE FOODS/RESERS,Reser Fine,officers
FINLANDS CURRENT/ACCOUNT IN,finland,deficit
FIP/Genoa,Gallah,valv
FIRB/Fridai It,CSR offer,happier
FIRE AT/discharged,Tate,Maputo
FIREMANS FUND/Realiz,ffc,realized
FIRM/Clean,Tank,Allwast
FIRM CUTS/Intermagnet,Grove,INTERMAGNETICSINMA
FIRM HAS/SEQP.O,SUPREME,fund Gabelli
FIRM UPS/wrather,wco,Wrather
FIRST/MERCANTILE CURRENCY,First Montauk,gta
FIRST AMERICAN/BANK FOR,FAMB.O,savings
FIRST BANK/Lewiston,fbs,First Bank
FIRST BOSTON/fulli,primari,fbc
FIRST CITY/Nuton,FCY,Wedd
FIRST COLONIAL/fcola,BANKSHARES,00410101
FIRST COMMERCE/fcom,CORP,00310101
FIRST COMMERCIAL/First Commercial,threebranch,CITIZENS
FIRST DATA/FDMC.O,sharehopld,First Data
FIRST EASTERN/febc,00470101,00500101
FIRST FEDERAL/FFBN.O,Chattanooga,ffom
FIRST FLORIDA/ffbk,billlion,Asset
FIRST INTERSTATE/IOWA,FIIA.O,actions
FIRST MARATHON/FMS.A.TO,First Marathon,nonvoting
FIRST MICHIGAN/00480101,FMBC.O,BANCORP
FIRST OAK/BROOK,FOBBA.O,Net 2,133,000
FIRST OF/Keyston,FABK.O,keystone
FIRST PENNSYLVANIA/fpa,00120101,00150101
FIRST QUARTER/INCLUDE 208,charge,RJR NABISCO
FIRST REPUBLIC/BANK DALLAS,TODAY,RATE TO
FIRST REPUBLICBANK/RepublicBank,FRB.N,Interfirst
FIRST UNION/First Union,Port Bank,,Sarasota
FIRST VALLEY/FIVC.O,00620101,00690101
FIRSTBANC CORP/fboh,ohio,00740101
FIRSTIER FINANCIAL/FRST.O,INC,Nine
FITB.O/FIFTH THIRD,Heritag,Fifth Third
FITCHBURG GAS/fge,quarterly,Pai May
FIVC.O/FIRST VALLEY,00620101,00690101
FIVEYEAR/SA said.,Turin,Warburg Soditic
FIXTURES Fiji/Prai/QueenslandJapan,Reunion-,InchonIndia
FIXTURES USG/Taiwan/USGMorocco,Great Lakes,Algeria at
FLAEF.O/INSURANCE,FLORIDA EMPLOYERS,RD
FLAGLER BANK/FLGLA.O,Loan 156.4,Per
FLD/STN,victor,Johnson Redbook
FLEET FINANCIAL/flt,00600101,00730101
FLGLA.O/FLAGLER BANK,Loan 156.4,Per
FLORIDA/SBCF.O,SEACOAST BANKING,CORP OF
FLORIDA EMPLOYERS/FLAEF.O,INSURANCE,RD
FLORIDA PROGRESS/fpc,MidContinent,00830101
FLR/Waterford,fluor,Methyl
FMBC.O/FIRST MICHIGAN,BANCORP,00550101
FMC CORP/FMC Corp,Peroxid,IndoThai Synthetics
FMC Corp/Peroxid,IndoThai Synthetics,hydrogen
FMR/EXPRESSOEH,Commiss they,MDWY.O
FMS.A.TO/First Marathon,FIRST MARATHON,placement
FN/ORION BROADCAST,OBGI.O,Orion Broadcast
FNB/King World,KING WORLD,BK
FNV/workpractice,Flevoland,Elevat
FOB/Indonesian Commodity,carriers,Moslem
FOBBA.O/BROOK,FIRST OAK,Net 2,133,000
